Week_Num,Route,Vessel_Count,Month_Name,Month_Num,Is_Crisis_Week,Weekly_Threshold,Week_Label
1,Cape,12,January,1,0,49,W1
1,Suez,12,January,1,0,49,W1
2,Cape,13,January,1,0,49,W2
2,Suez,19,January,1,0,49,W2
3,Cape,15,January,1,0,49,W3
3,Suez,24,January,1,0,49,W3
4,Cape,21,January,1,0,49,W4
4,Suez,21,January,1,0,49,W4
5,Cape,22,January,1,1,49,W5
5,Suez,25,January,1,1,49,W5
6,Cape,30,February,2,1,49,W6
6,Suez,25,February,2,1,49,W6
7,Cape,30,February,2,1,49,W7
7,Suez,28,February,2,1,49,W7
8,Cape,31,February,2,1,49,W8
8,Suez,19,February,2,1,49,W8
9,Cape,14,February,2,1,49,W9
9,Suez,40,February,2,1,49,W9
10,Cape,16,March,3,0,49,W10
10,Suez,21,March,3,0,49,W10
11,Cape,15,March,3,0,49,W11
11,Suez,25,March,3,0,49,W11
12,Cape,14,March,3,0,49,W12
12,Suez,17,March,3,0,49,W12
13,Cape,18,March,3,0,49,W13
13,Suez,24,March,3,0,49,W13
14,Cape,1,March,3,0,49,W14
14,Suez,11,March,3,0,49,W14
